time,view_east,view_north,view_south,view_west,amb_temp,wind_perpendicular,wind_parallel,clouds,intial_temp,temp
7.0,0.0,0.0,1.0,0.0,0.9090909090909092,0.0,0.788010753606722,0.0,0.8466666666666666,67.67
7.0,0.0,0.0,0.0,1.0,0.9090909090909092,0.7880107536067219,0.6156614753256583,0.0,0.38095238095238104,58.0
8.0,1.0,0.0,0.0,0.0,0.9090909090909092,0.0,0.5735764363510459,0.0,0.6507936507936508,52.75
8.0,0.0,1.0,0.0,0.0,0.9090909090909092,0.0,0.8191520442889916,0.0,0.39142857142857135,40.83
8.0,0.0,0.0,1.0,0.0,0.9090909090909092,0.0,0.8191520442889918,0.0,0.8466666666666666,65.17
8.0,0.0,0.0,0.0,1.0,0.9090909090909092,0.8090169943749475,0.5877852522924731,0.0,0.38095238095238104,56.75
9.0,1.0,0.0,0.0,0.0,0.8181818181818183,0.0,0.5591929034707469,0.0,0.6507936507936508,49.5
9.0,0.0,1.0,0.0,0.0,0.8181818181818183,0.0,0.8290375725550418,0.0,0.39142857142857135,38.0
9.0,0.0,0.0,1.0,0.0,0.8181818181818183,0.0,0.8290375725550417,0.0,0.8466666666666666,62.67
9.0,0.0,0.0,0.0,1.0,0.8181818181818183,0.8290375725550417,0.5591929034707469,0.0,0.38095238095238104,55.5
10.0,1.0,0.0,0.0,0.0,0.6363636363636367,0.0,0.3420201433256689,0.0,0.6507936507936508,45.0
10.0,0.0,1.0,0.0,0.0,0.6363636363636367,0.0,0.9396926207859084,0.0,0.39142857142857135,34.0
10.0,0.0,0.0,1.0,0.0,0.6363636363636367,0.0,0.9396926207859083,0.0,0.8466666666666666,60.67
10.0,0.0,0.0,0.0,1.0,0.6363636363636367,0.9396926207859084,0.3420201433256687,0.0,0.38095238095238104,54.5
11.0,1.0,0.0,0.0,0.0,0.4545454545454546,0.0,0.7880107536067221,0.0,0.6507936507936508,42.5
11.0,0.0,1.0,0.0,0.0,0.4545454545454546,0.0,0.6156614753256582,0.0,0.39142857142857135,32.0
11.0,0.0,0.0,1.0,0.0,0.4545454545454546,0.0,0.6156614753256584,0.0,0.8466666666666666,59.0
11.0,0.0,0.0,0.0,1.0,0.4545454545454546,0.6156614753256583,0.788010753606722,0.0,0.38095238095238104,53.0
1.0,1.0,0.0,0.0,0.0,0.27272727272727293,0.9396926207859084,0.3420201433256687,0.0,0.9206349206349206,60.0
1.0,0.0,1.0,0.0,0.0,0.27272727272727293,0.0,0.9396926207859084,0.0,0.39142857142857135,43.33
1.0,0.0,0.0,1.0,0.0,0.27272727272727293,0.3420201433256688,0.9396926207859083,0.0,0.8149206349206349,56.67
1.0,0.0,0.0,0.0,1.0,0.27272727272727293,0.0,0.3420201433256689,0.0,0.4285714285714285,44.5
3.0,1.0,0.0,0.0,0.0,0.4545454545454546,0.0,0.9902680687415704,0.0,0.9206349206349206,60.5
3.0,0.0,1.0,0.0,0.0,0.4545454545454546,0.0,0.13917310096006552,0.0,0.39142857142857135,46.67
3.0,0.0,0.0,1.0,0.0,0.4545454545454546,0.0,0.13917310096006544,0.0,0.8149206349206349,64.33
