Date,Time,Temperature,wind_direction,Ambient Temperature (in °C),Delta Temp (Y),Log (Y),Temperature - 1 (in °C),Delta Temp (Y-1),North,East,West,South,Wind Impact (Should be linear variation & wind speed),FACE-A,FACE-B,FACE-C
2018-02-03,12:30:00,63,32,33,30,3.4011973816621555,66,33,0,1,0,0,0.5299192642332049,0,1,0
2018-02-03,12:30:00,47,32,33,14,2.6390573296152584,45,12,1,0,0,0,0.848048096156426,1,0,0
2018-02-03,12:30:00,42,32,33,9,2.1972245773362196,40,7,1,0,0,0,0.848048096156426,0,1,0
2018-02-03,12:30:00,41,32,33,8,2.0794415416798357,37,4,1,0,0,0,0.848048096156426,0,0,1
2018-02-03,13:00:00,53,250,34,19,2.9444389791664403,59,25,0,0,1,0,0.9396926207859084,1,0,0
2018-02-03,13:00:00,49,250,34,15,2.70805020110221,55,21,0,0,1,0,0.9396926207859084,0,1,0
2018-02-03,13:00:00,64,250,34,30,3.4011973816621555,68,34,0,0,0,1,0.3420201433256688,1,0,0
2018-02-03,13:00:00,67,250,34,33,3.4965075614664802,68,34,0,0,0,1,0.3420201433256688,0,1,0
2018-02-03,13:00:00,66,250,34,32,3.4657359027997265,74,40,0,0,0,1,0.3420201433256688,0,0,1
2018-02-03,13:00:00,58,250,34,24,3.1780538303479458,59,25,0,1,0,0,0.0,1,0,0
2018-02-03,13:00:00,55,250,34,21,3.044522437723423,63,29,0,1,0,0,0.0,0,1,0
2018-02-03,13:00:00,41,250,34,7,1.9459101490553132,47,13,1,0,0,0,0.0,1,0,0
2018-02-03,13:00:00,41,250,34,7,1.9459101490553132,42,8,1,0,0,0,0.0,0,1,0
2018-02-03,13:00:00,41,250,34,7,1.9459101490553132,41,7,1,0,0,0,0.0,0,0,1
2018-02-03,14:30:00,58,155,31,27,3.295836866004329,53,22,0,0,1,0,0.0,1,0,0
2018-02-03,14:30:00,58,155,31,27,3.295836866004329,49,18,0,0,1,0,0.0,0,1,0
2018-02-03,14:30:00,68,155,31,37,3.6109179126442243,64,33,0,0,0,1,0.9063077870366499,1,0,0
2018-02-03,14:30:00,66,155,31,35,3.5553480614894135,67,36,0,0,0,1,0.9063077870366499,0,1,0
2018-02-03,14:30:00,63,155,31,32,3.4657359027997265,66,35,0,0,0,1,0.9063077870366499,0,0,1
2018-02-03,14:30:00,55,155,31,24,3.1780538303479458,58,27,0,1,0,0,0.42261826174069944,1,0,0
2018-02-03,14:30:00,49,155,31,18,2.8903717578961645,55,24,0,1,0,0,0.42261826174069944,0,1,0
2018-02-03,14:30:00,32,155,31,1,0.0,41,10,1,0,0,0,0.0,1,0,0
2018-02-03,14:30:00,40,155,31,9,2.1972245773362196,41,10,1,0,0,0,0.0,0,1,0
2018-02-03,14:30:00,35,155,31,4,1.3862943611198906,41,10,1,0,0,0,0.0,0,0,1
2018-02-03,15:00:00,58,150,29,29,3.367295829986474,58,29,0,0,1,0,0.0,1,0,0
2018-02-03,15:00:00,57,150,29,28,3.332204510175204,58,29,0,0,1,0,0.0,0,1,0
